,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Lassi Thomson,Finland,OTT,21,D,16,0,5,5,2,-8,17:14,15:26,1:10,0:38,0,0,0,0,0,4,1,0,0,0,4,1,0,0,0,20.0%,0.000,1.087,1.087,0.000,0.972,0.972,0.000,3.211,3.211,0.000,0.313,0.313,18,0.0%,23,9,0,0,0.00%
Nolan Foote,Canada,NJD,21,F,7,3,1,4,0,3,10:22,9:47,0:32,0:01,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0.0%,2.480,0.827,3.307,2.625,0.875,3.500,0.000,0.000,0.000,0.429,0.143,0.571,10,30.0%,8,1,0,3,0.00%
Michael Sgarbossa,Canada,WSH,29,F,10,2,2,4,0,3,9:53,9:09,0:44,0:00,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,1.213,1.213,2.425,1.311,1.311,2.622,0.000,0.000,0.000,0.200,0.200,0.400,11,18.2%,7,2,41,31,56.94%
Calen Addison,Canada,MIN,21,D,15,2,2,4,2,-4,13:47,12:15,1:31,0:00,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.580,0.580,1.160,0.652,0.652,1.305,0.000,0.000,0.000,0.133,0.133,0.267,17,11.8%,12,6,0,0,0.00%
Mark Kastelic,United-States,OTT,22,F,16,2,2,4,14,-1,9:11,8:55,0:13,0:01,2,0,0,1,0,2,0,0,1,0,4,0,0,2,0,0.0%,0.817,0.817,1.633,0.840,0.840,1.680,0.000,0.000,0.000,0.125,0.125,0.250,11,18.2%,51,10,70,50,58.33%
James Neal,Canada,STL,34,F,19,2,2,4,0,-1,11:57,10:12,1:45,0:00,1,1,0,1,0,1,1,0,0,0,2,2,0,1,0,50.0%,0.528,0.528,1.056,0.309,0.309,0.618,1.805,1.805,3.609,0.105,0.105,0.211,31,6.5%,17,3,0,2,0.00%
Axel Jonsson Fjällby,Sweden,WSH,23,F,23,2,2,4,4,0,11:10,10:27,0:02,0:41,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.0%,0.467,0.467,0.933,0.499,0.499,0.998,0.000,0.000,0.000,0.087,0.087,0.174,29,6.9%,18,8,1,3,25.00%
Haydn Fleury,Canada,SEA,25,D,36,2,2,4,13,0,16:16,15:10,0:10,0:55,2,0,0,1,0,2,0,0,1,0,4,0,0,2,0,0.0%,0.205,0.205,0.410,0.220,0.220,0.440,0.000,0.000,0.000,0.056,0.056,0.111,52,3.9%,60,62,0,0,0.00%
Isaac Ratcliffe,Canada,PHI,22,F,10,1,3,4,10,-1,10:44,9:42,1:01,0:00,1,0,0,0,0,1,2,0,0,0,2,2,0,0,0,50.0%,0.558,1.675,2.233,0.618,0.618,1.236,0.000,11.688,11.688,0.100,0.300,0.400,14,7.1%,16,8,0,1,0.00%
Matt Irwin,Canada,WSH,34,D,17,1,3,4,6,0,12:38,12:03,0:01,0:34,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0.0%,0.279,0.838,1.117,0.293,0.878,1.171,0.000,0.000,0.000,0.059,0.176,0.235,29,3.5%,36,21,0,0,0.00%
Kyle Turris,Canada,EDM,32,F,23,1,3,4,4,-5,8:37,8:11,0:25,0:00,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0.0%,0.303,0.908,1.210,0.318,0.955,1.274,0.000,0.000,0.000,0.043,0.130,0.174,21,4.8%,13,6,28,22,56.00%
Nils Lundkvist,Sweden,NYR,21,D,25,1,3,4,0,4,13:55,12:33,1:12,0:09,0,1,0,0,0,2,1,0,1,0,2,2,0,1,0,50.0%,0.172,0.517,0.689,0.000,0.382,0.382,1.977,1.977,3.954,0.040,0.120,0.160,32,3.1%,15,15,0,0,0.00%
Andrej Sekera,Slovakia,DAL,35,D,32,1,3,4,16,-3,13:42,12:49,0:00,0:52,1,0,0,0,0,3,0,0,2,0,4,0,0,2,0,0.0%,0.137,0.410,0.547,0.146,0.439,0.585,0.000,0.000,0.000,0.031,0.094,0.125,26,3.9%,15,25,0,0,0.00%
William Eklund,Sweden,SJS,19,F,9,0,4,4,2,-3,14:19,12:03,2:15,0:01,0,0,0,0,0,1,3,0,1,0,1,3,0,1,0,75.0%,0.000,1.861,1.861,0.000,0.553,0.553,0.000,8.889,8.889,0.000,0.444,0.444,8,0.0%,4,4,3,5,37.50%
Derrick Pouliot,Canada,SEA,27,D,11,0,4,4,4,6,15:30,15:23,0:03,0:02,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.0%,0.000,1.407,1.407,0.000,1.417,1.417,0.000,0.000,0.000,0.000,0.364,0.364,8,0.0%,10,14,0,0,0.00%
Slater Koekkoek,Canada,EDM,27,D,19,0,4,4,16,2,11:10,10:53,0:00,0:16,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.0%,0.000,1.130,1.130,0.000,1.160,1.160,0.000,0.000,0.000,0.000,0.211,0.211,11,0.0%,21,18,0,0,0.00%
Colton White,Canada,NJD,24,D,27,0,4,4,8,2,13:15,12:57,0:00,0:16,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0.0%,0.000,0.671,0.671,0.000,0.686,0.686,0.000,0.000,0.000,0.000,0.148,0.148,18,0.0%,24,14,0,0,0.00%
Riley Nash,Canada,TBL,32,F,49,0,4,4,10,-5,11:25,9:24,0:28,1:32,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.0%,0.000,0.429,0.429,0.000,0.520,0.520,0.000,0.000,0.000,0.000,0.082,0.082,36,0.0%,46,17,207,190,52.14%
Mark Borowiecki,Canada,NSH,32,D,57,0,4,4,151,-9,13:07,11:18,0:00,1:47,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.0%,0.000,0.321,0.321,0.000,0.372,0.372,0.000,0.000,0.000,0.000,0.070,0.070,45,0.0%,196,79,0,0,0.00%
Jujhar Khaira,Canada,CHI,27,F,27,3,0,3,13,-4,13:36,11:42,0:02,1:51,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0%,0.490,0.000,0.490,0.569,0.000,0.569,0.000,0.000,0.000,0.111,0.000,0.111,32,9.4%,88,14,53,48,52.48%
Mason McTavish,Canada,ANA,18,F,9,2,1,3,2,3,13:04,10:44,1:59,0:20,2,0,0,1,0,0,1,0,0,0,2,1,0,1,0,33.3%,1.019,0.510,1.529,1.241,0.000,1.241,0.000,3.358,3.358,0.222,0.111,0.333,12,16.7%,8,6,0,3,0.00%
Sheldon Dries,United-States,VAN,27,F,11,2,1,3,0,-3,10:18,9:22,0:55,0:00,1,1,0,1,0,1,0,0,0,0,2,1,0,1,0,33.3%,1.059,0.530,1.589,0.582,0.582,1.163,5.931,0.000,5.931,0.182,0.091,0.273,17,11.8%,9,6,7,14,33.33%
Adam Brooks,Canada,WPG,25,F,25,2,1,3,2,2,8:56,8:36,0:14,0:06,2,0,0,2,0,1,0,0,0,0,3,0,0,2,0,0.0%,0.536,0.268,0.805,0.558,0.279,0.837,0.000,0.000,0.000,0.080,0.040,0.120,14,14.3%,11,6,23,34,40.35%
Kristian Vesalainen,Finland,WPG,22,F,53,2,1,3,6,-8,8:40,8:35,0:04,0:00,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.0%,0.261,0.131,0.392,0.263,0.132,0.395,0.000,0.000,0.000,0.038,0.019,0.057,43,4.7%,72,14,0,1,0.00%
Nick Blankenburg,United-States,CBJ,23,D,7,1,2,3,4,-3,17:34,16:19,0:37,0:37,0,1,0,1,0,2,0,0,0,0,2,1,0,1,0,33.3%,0.488,0.976,1.463,0.000,1.051,1.051,13.585,0.000,13.585,0.143,0.286,0.429,13,7.7%,19,12,0,0,0.00%
Carson Meyer,United-States,CBJ,24,F,13,1,2,3,6,0,8:13,8:07,0:00,0:06,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.561,1.122,1.683,0.568,1.137,1.705,0.000,0.000,0.000,0.077,0.154,0.231,13,7.7%,27,2,0,0,0.00%
Benoit-Olivier Groulx,Canada,ANA,21,F,18,1,2,3,2,0,10:59,9:20,0:05,1:33,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.303,0.606,0.910,0.357,0.713,1.070,0.000,0.000,0.000,0.056,0.111,0.167,17,5.9%,19,6,38,45,45.78%
Troy Stecher,Canada,LAK,27,D,29,1,2,3,13,-7,16:40,15:42,0:07,0:50,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.124,0.248,0.372,0.132,0.263,0.395,0.000,0.000,0.000,0.034,0.069,0.103,50,2.0%,33,38,0,0,0.00%
Nate Thompson,United-States,PHI,37,F,33,1,2,3,31,-15,11:58,9:42,0:05,2:10,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.152,0.304,0.456,0.187,0.374,0.562,0.000,0.000,0.000,0.030,0.061,0.091,23,4.4%,49,20,160,127,55.75%
Tucker Poolman,United-States,VAN,28,D,40,1,2,3,12,2,17:00,15:18,0:05,1:36,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.088,0.176,0.265,0.098,0.196,0.294,0.000,0.000,0.000,0.025,0.050,0.075,47,2.1%,33,73,0,0,0.00%
Nick Seeler,United-States,PHI,28,D,43,1,2,3,29,-3,13:04,12:14,0:03,0:47,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.107,0.213,0.320,0.114,0.228,0.342,0.000,0.000,0.000,0.023,0.047,0.070,32,3.1%,75,67,0,0,0.00%
Kent Johnson,Canada,CBJ,19,F,9,0,3,3,2,2,12:26,11:05,1:21,0:00,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,66.7%,0.000,1.607,1.607,0.000,0.601,0.601,0.000,9.863,9.863,0.000,0.333,0.333,5,0.0%,4,1,0,0,0.00%
Dennis Cholowski,Canada,SEA,23,D,11,0,3,3,2,-3,15:48,14:45,1:00,0:02,0,0,0,0,0,3,0,0,2,0,3,0,0,2,0,0.0%,0.000,1.035,1.035,0.000,1.109,1.109,0.000,0.000,0.000,0.000,0.273,0.273,11,0.0%,5,13,0,0,0.00%
Jalen Chatfield,United-States,CAR,25,D,16,0,3,3,8,1,14:47,14:24,0:00,0:22,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.0%,0.000,0.761,0.761,0.000,0.781,0.781,0.000,0.000,0.000,0.000,0.188,0.188,25,0.0%,32,10,0,0,0.00%
Tanner Kero,United-States,DAL,29,F,23,0,3,3,0,-5,9:33,9:05,0:02,0:25,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.0%,0.000,0.818,0.818,0.000,0.861,0.861,0.000,0.000,0.000,0.000,0.130,0.130,14,0.0%,12,9,9,5,64.29%
Jack Drury,United-States,CAR,21,F,2,2,0,2,2,3,15:57,14:20,0:00,1:37,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0%,3.760,0.000,3.760,4.184,0.000,4.184,0.000,0.000,0.000,1.000,0.000,1.000,6,33.3%,4,2,12,3,80.00%
Paul Cotter,United-States,VGK,22,F,7,2,0,2,6,1,8:48,8:47,0:01,0:00,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0%,1.945,0.000,1.945,1.950,0.000,1.950,0.000,0.000,0.000,0.286,0.000,0.286,11,18.2%,17,1,0,1,0.00%
Jack Quinn,Canada,BUF,20,F,2,1,1,2,0,0,14:52,11:53,2:59,0:00,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,50.0%,2.017,2.017,4.034,0.000,2.523,2.523,10.056,0.000,10.056,0.500,0.500,1.000,6,16.7%,0,1,0,0,0.00%
Trey Fix-Wolansky,Canada,CBJ,22,F,6,1,1,2,0,-1,6:15,6:15,0:00,0:00,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,1.599,1.599,3.199,1.599,1.599,3.199,0.000,0.000,0.000,0.167,0.167,0.333,5,20.0%,7,4,0,0,0.00%
Justin Barron,Canada,MTL,20,D,7,1,1,2,0,-3,17:10,15:24,0:53,0:52,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.499,0.499,0.998,0.556,0.556,1.113,0.000,0.000,0.000,0.143,0.143,0.286,13,7.7%,5,5,0,0,0.00%
A.J. Greer,Canada,NJD,25,F,9,1,1,2,2,0,7:51,7:49,0:00,0:01,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.849,0.849,1.697,0.852,0.852,1.703,0.000,0.000,0.000,0.111,0.111,0.222,14,7.1%,20,3,2,1,66.67%
Jake Neighbours,Canada,STL,19,F,9,1,1,2,2,-2,9:21,8:51,0:00,0:29,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0.0%,0.713,0.713,1.426,0.753,0.753,1.506,0.000,0.000,0.000,0.111,0.111,0.222,8,12.5%,10,1,1,2,33.33%
Matt Kiersted,United-States,FLA,23,D,10,1,1,2,2,-8,14:02,13:11,0:01,0:50,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.427,0.427,0.854,0.455,0.455,0.910,0.000,0.000,0.000,0.100,0.100,0.200,11,9.1%,10,17,0,0,0.00%
Kristian Reichel,Czech-Republic,WPG,23,F,13,1,1,2,7,-2,10:24,10:24,0:00,0:00,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0.0%,0.444,0.444,0.887,0.444,0.444,0.888,0.000,0.000,0.000,0.077,0.077,0.154,18,5.6%,14,10,1,0,100.00%
Michal Kempny,Czech-Republic,WSH,31,D,15,1,1,2,16,-3,15:50,14:47,0:00,1:02,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.253,0.253,0.505,0.270,0.270,0.541,0.000,0.000,0.000,0.067,0.067,0.133,10,10.0%,22,19,0,0,0.00%
Lias Andersson,Sweden,LAK,23,F,20,1,1,2,12,-7,10:36,9:49,0:36,0:11,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,50.0%,0.283,0.283,0.565,0.305,0.000,0.305,0.000,4.945,4.945,0.050,0.050,0.100,29,3.5%,23,3,21,26,44.68%
Tyler Benson,Canada,EDM,23,F,29,1,1,2,18,-5,8:32,8:23,0:09,0:00,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.242,0.242,0.485,0.247,0.247,0.493,0.000,0.000,0.000,0.034,0.034,0.069,18,5.6%,45,3,0,1,0.00%
Radim Simek,Czech-Republic,SJS,29,D,36,1,1,2,8,-13,13:16,12:56,0:06,0:13,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.125,0.125,0.251,0.129,0.129,0.258,0.000,0.000,0.000,0.028,0.028,0.056,25,4.0%,96,39,0,0,0.00%
Carl Dahlström,Sweden,TOR,26,D,3,0,2,2,2,2,13:39,12:48,0:00,0:50,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,2.930,2.930,0.000,3.122,3.122,0.000,0.000,0.000,0.000,0.667,0.667,4,0.0%,1,2,0,0,0.00%
Nicholas Merkley,Canada,SJS,24,F,9,1,2,3,0,-2,12:24,11:12,1:12,0:00,1,0,0,0,0,1,1,0,1,0,2,1,0,1,0,33.3%,0.537,1.074,1.611,0.595,0.595,1.190,0.000,5.505,5.505,0.111,0.222,0.333,7,14.3%,9,2,6,5,54.55%
Logan Shaw,Canada,OTT,29,F,17,1,2,3,2,-3,9:22,8:13,0:02,1:07,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.376,0.753,1.129,0.430,0.859,1.289,0.000,0.000,0.000,0.059,0.118,0.176,17,5.9%,11,5,58,57,50.43%
Philip Broberg,Sweden,EDM,20,D,23,1,2,3,8,-8,13:28,12:21,0:23,0:43,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.194,0.387,0.581,0.211,0.422,0.633,0.000,0.000,0.000,0.043,0.087,0.130,29,3.5%,10,10,0,0,0.00%
Vladislav Kolyachonok,Belarus,ARI,20,D,32,1,2,3,6,0,15:50,15:18,0:01,0:31,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.118,0.237,0.355,0.122,0.245,0.367,0.000,0.000,0.000,0.031,0.063,0.094,24,4.2%,39,36,0,0,0.00%
Kevin Connauton,Canada,PHI,31,D,39,1,2,3,4,-3,13:04,12:33,0:01,0:29,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.118,0.235,0.353,0.123,0.245,0.368,0.000,0.000,0.000,0.026,0.051,0.077,30,3.3%,74,32,0,0,0.00%
Jonah Gadjovich,Canada,SJS,23,F,43,1,2,3,74,-9,8:45,8:44,0:00,0:00,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0.0%,0.159,0.319,0.478,0.160,0.319,0.479,0.000,0.000,0.000,0.023,0.047,0.070,36,2.8%,104,14,1,2,33.33%
Matt Tennyson,United-States,NSH,31,D,8,0,3,3,4,0,12:54,12:29,0:00,0:24,0,0,0,0,0,3,0,0,1,0,3,0,0,1,0,0.0%,0.000,1.743,1.743,0.000,1.801,1.801,0.000,0.000,0.000,0.000,0.375,0.375,5,0.0%,12,4,0,0,0.00%
Jakub Zboril,Czech-Republic,BOS,24,D,10,0,3,3,4,1,15:43,15:00,0:04,0:38,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.0%,0.000,1.145,1.145,0.000,1.199,1.199,0.000,0.000,0.000,0.000,0.300,0.300,13,0.0%,24,10,0,0,0.00%
Jack Studnicka,Canada,BOS,22,F,15,0,3,3,4,-5,12:36,11:45,0:12,0:37,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.0%,0.000,0.952,0.952,0.000,1.021,1.021,0.000,0.000,0.000,0.000,0.200,0.200,21,0.0%,17,5,58,61,48.74%
Jayson Megna,United-States,COL,31,F,20,0,3,3,4,-2,10:16,9:39,0:04,0:32,0,0,0,0,0,3,0,0,2,0,3,0,0,2,0,0.0%,0.000,0.875,0.875,0.000,0.932,0.932,0.000,0.000,0.000,0.000,0.150,0.150,19,0.0%,27,9,56,60,48.28%
Jacob Markström,Sweden,CGY,31,G,63,0,3,3,10,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.048,0.048,,,,,,,
Martin Frk,Czech-Republic,LAK,28,F,6,2,0,2,2,-4,14:01,10:29,3:32,0:00,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,100.0%,1.425,0.000,1.425,0.000,0.000,0.000,5.638,0.000,5.638,0.333,0.000,0.333,15,13.3%,11,0,0,0,0.00%
Alexei Toropchenko,Russia,STL,22,F,28,2,0,2,15,-9,10:43,10:40,0:00,0:02,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0%,0.400,0.000,0.400,0.402,0.000,0.402,0.000,0.000,0.000,0.071,0.000,0.071,43,4.7%,69,21,1,2,33.33%
Nikita Okhotyuk,Russia,NJD,21,D,5,1,1,2,2,-2,15:05,14:48,0:02,0:14,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.795,0.795,1.591,0.810,0.810,1.620,0.000,0.000,0.000,0.200,0.200,0.400,5,20.0%,16,1,0,0,0.00%
Riley Damiani,Canada,DAL,21,F,7,1,1,2,2,0,8:32,8:02,0:29,0:00,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,1.004,1.004,2.008,1.065,1.065,2.131,0.000,0.000,0.000,0.143,0.143,0.286,10,10.0%,4,0,7,7,50.00%
Brad Malone,Canada,EDM,32,F,8,1,1,2,2,-2,8:16,7:00,0:02,1:13,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.906,0.906,1.812,1.069,1.069,2.138,0.000,0.000,0.000,0.125,0.125,0.250,7,14.3%,22,1,13,14,48.15%
Christian Wolanin,United-States,LAK,26,D,9,1,1,2,2,-1,14:41,13:12,0:52,0:37,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.454,0.454,0.907,0.505,0.505,1.010,0.000,0.000,0.000,0.111,0.111,0.222,5,20.0%,5,13,0,0,0.00%
Greg Pateryn,United-States,ANA,31,D,10,1,1,2,10,0,14:07,11:32,0:03,2:31,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0.0%,0.425,0.425,0.850,0.520,0.520,1.040,0.000,0.000,0.000,0.100,0.100,0.200,16,6.3%,18,7,0,0,0.00%
Kiefer Sherwood,United-States,COL,26,F,11,1,1,2,0,3,8:34,7:59,0:34,0:00,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0.0%,0.637,0.637,1.273,0.682,0.682,1.365,0.000,0.000,0.000,0.091,0.091,0.182,9,11.1%,12,4,1,0,100.00%
John Leonard,United-States,SJS,23,F,14,1,1,2,0,-5,11:16,10:24,0:48,0:04,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,50.0%,0.380,0.380,0.760,0.412,0.000,0.412,0.000,5.294,5.294,0.071,0.071,0.143,25,4.0%,13,8,1,1,50.00%
Alex Vlasic,United-States,CHI,20,D,15,1,1,2,2,-2,14:18,13:56,0:00,0:21,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.280,0.280,0.559,0.287,0.287,0.574,0.000,0.000,0.000,0.067,0.067,0.133,12,8.3%,15,16,0,0,0.00%
Jonny Brodzinski,United-States,NYR,28,F,22,1,1,2,10,1,10:51,9:56,0:02,0:52,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.251,0.251,0.502,0.274,0.274,0.548,0.000,0.000,0.000,0.045,0.045,0.091,34,2.9%,8,8,49,48,50.52%
Jay Beagle,Canada,ARI,36,F,33,1,1,2,27,-20,13:47,11:36,0:06,2:03,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.0%,0.132,0.132,0.264,0.157,0.157,0.313,0.000,0.000,0.000,0.030,0.030,0.061,24,4.2%,50,16,265,199,57.11%
Andrew Poturalski,United-States,CAR,27,F,2,0,2,2,0,-1,10:08,8:40,1:28,0:00,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,100.0%,0.000,5.916,5.916,0.000,0.000,0.000,0.000,40.909,40.909,0.000,1.000,1.000,4,0.0%,0,1,3,4,42.86%
Linus Högberg,Sweden,PHI,23,D,5,0,2,2,2,0,17:03,16:12,0:00,0:51,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,1.407,1.407,0.000,1.481,1.481,0.000,0.000,0.000,0.000,0.400,0.400,3,0.0%,0,8,0,0,0.00%
Jeremy Davies,Canada,NSH,25,D,6,0,2,2,2,-5,12:15,12:01,0:11,0:02,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,1.632,1.632,0.000,1.664,1.664,0.000,0.000,0.000,0.000,0.333,0.333,5,0.0%,5,1,0,0,0.00%
Scott Sabourin,Canada,OTT,29,F,7,0,2,2,11,-2,7:35,7:35,0:00,0:00,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.0%,0.000,2.257,2.257,0.000,2.257,2.257,0.000,0.000,0.000,0.000,0.286,0.286,4,0.0%,14,4,1,0,100.00%
Noah Juulsen,Canada,VAN,24,D,8,0,2,2,0,-4,14:41,13:12,0:00,1:29,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,1.021,1.021,0.000,1.136,1.136,0.000,0.000,0.000,0.000,0.250,0.250,6,0.0%,20,11,0,0,0.00%
Juuso Välimäki,Finland,CGY,23,D,9,0,2,2,10,0,15:42,14:48,0:06,0:47,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.0%,0.000,0.849,0.849,0.000,0.901,0.901,0.000,0.000,0.000,0.000,0.222,0.222,11,0.0%,8,9,0,0,0.00%
Santeri Hatakka,Finland,SJS,20,D,9,0,2,2,2,-5,12:37,12:21,0:01,0:14,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.0%,0.000,1.056,1.056,0.000,1.078,1.078,0.000,0.000,0.000,0.000,0.222,0.222,3,0.0%,5,7,0,0,0.00%
MacKenzie MacEachern,United-States,STL,27,F,14,0,2,2,4,-1,7:58,7:57,0:00,0:00,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.0%,0.000,1.076,1.076,0.000,1.076,1.076,0.000,0.000,0.000,0.000,0.143,0.143,14,0.0%,19,1,0,0,0.00%
Jacob Moverare,Sweden,LAK,23,D,19,0,2,2,2,3,16:20,14:59,0:04,1:16,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,0.386,0.386,0.000,0.421,0.421,0.000,0.000,0.000,0.000,0.105,0.105,15,0.0%,16,21,0,0,0.00%
Cedric Paquette,Canada,MTL,28,F,24,0,2,2,25,-6,8:51,6:58,0:05,1:47,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0.0%,0.000,0.564,0.564,0.000,0.716,0.716,0.000,0.000,0.000,0.000,0.083,0.083,16,0.0%,58,14,31,73,29.81%
Jake Oettinger,United-States,DAL,23,G,48,0,2,2,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.042,0.042,,,,,,,
Tristan Jarry,Canada,PIT,26,G,58,0,2,2,6,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.034,0.034,,,,,,,
Alexander Nedeljkovic,United-States,DET,25,G,59,0,2,2,2,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.034,0.034,,,,,,,
Connor Hellebuyck,United-States,WPG,28,G,66,0,2,2,0,,,,,,0,0,0,0,0,,,,,,,,,0,0,0.0%,,,,,,,,,,0.000,0.030,0.030,,,,,,,
Bokondji Imama,Canada,ARI,25,F,4,1,0,1,5,-2,4:31,4:31,0:00,0:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,3.318,0.000,3.318,3.318,0.000,3.318,0.000,0.000,0.000,0.250,0.000,0.250,3,33.3%,10,0,0,0,0.00%
Rafael Harvey-Pinard,Canada,MTL,22,F,4,1,0,1,0,-2,13:05,10:59,1:52,0:14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,1.146,0.000,1.146,1.365,0.000,1.365,0.000,0.000,0.000,0.250,0.000,0.250,6,16.7%,12,3,0,1,0.00%
Blake Comeau,Canada,DAL,35,F,6,1,0,1,4,-1,11:28,10:27,0:00,1:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.872,0.000,0.872,0.957,0.000,0.957,0.000,0.000,0.000,0.167,0.000,0.167,2,50.0%,13,3,1,0,100.00%
Lukas Vejdemo,Sweden,MTL,25,F,6,1,0,1,0,-3,10:38,8:19,0:10,2:08,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0%,0.940,0.000,0.940,1.201,0.000,1.201,0.000,0.000,0.000,0.167,0.000,0.167,10,10.0%,7,4,13,18,41.94%
Jack Ahcan,United-States,BOS,24,D,6,1,0,1,0,-3,16:01,15:29,0:31,0:01,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0%,0.624,0.000,0.624,0.000,0.000,0.000,18.947,0.000,18.947,0.167,0.000,0.167,5,20.0%,8,5,0,0,0.00%
Jarred Tinordi,United-States,NYR,29,F,7,1,0,1,7,-5,12:55,12:44,0:05,0:05,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.663,0.000,0.663,0.673,0.000,0.673,0.000,0.000,0.000,0.143,0.000,0.143,5,20.0%,17,8,0,0,0.00%
